OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong
7819,Wilson Park,City of Boston,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas"
7821,Hooker-Sorrento Street Playground,City of Boston,Allston-Brighton,1.00537799,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields"
7822,Smith Playground,City of Boston,Allston-Brighton,14.79771231,235 Western Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields"
7823,Fern Square,City of Boston,Allston-Brighton,0.04054316,Opposite 101 Franklin Str.,Open Space District,"Malls, Squares & Plazas"
7824,Ringer Playground,City of Boston,Allston-Brighton,10.25585494, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
7826,McKinney Playground,City of Boston,Allston-Brighton,5.89138132,61-74 Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields"
7827,Hobart Park,City of Boston,Allston-Brighton,0.80884689,Opposite 18 Ranlegh Rd.,Open Space District,"Parks, Playgrounds & Athletic Fields"
7828,Market Street Burying Ground,City of Boston,Allston-Brighton,0.39534779,Opposite 381 Market Str.,Open Space District,Cemeteries & Burying Grounds
7829,Jackson Square,City of Boston,Allston-Brighton,0.12031326,Opposite 63 Chestnut Hill Ave,Open Space District,"Malls, Squares & Plazas"
7830,Reilly Playground,Commonwealth of Massachusetts,Allston-Brighton,6.96695306, ,Open Space District,"Parks, Playgrounds & Athletic Fields"
7831,Boyden Park,Commonwealth of Massachusetts,Allston-Brighton,0.48179081, ,Institutional District,"Malls, Squares & Plazas"
7832,Evergreen Cemetery,City of Boston,Allston-Brighton,20.77215033,2060 Commonwealth Ave.,Open Space District,Cemeteries & Burying Grounds
7833,Hardiman Playground,City of Boston,Allston-Brighton,1.47302947,Adair Road/Faneuil Str.,Open Space District,"Parks, Playgrounds & Athletic Fields"
7835,The Cenacles,Private,Allston-Brighton,15.33969764, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas
7836,Rogers Park,City of Boston,Allston-Brighton,8.17116962,Adjacent to 91 Foster St,Open Space District,"Parks, Playgrounds & Athletic Fields"
7842,Chandler Pond,City of Boston,Allston-Brighton,18.90802906,Opposite 44 Lake Shore Rd,Open Space District,"Parks, Playgrounds & Athletic Fields"
7843,Nonquit Green,Community Group/Nonprofit,Dorchester,0.35746179, ,Residential District,"Malls, Squares & Plazas"
7844,Mullen Square,City of Boston,Dorchester,0.22675059,Edison Green,Residential District,"Malls, Squares & Plazas"
7845,Dorchester North Burying Ground,City of Boston,Dorchester,3.30391727, ,Commercial/Office/Business District,Cemeteries & Burying Grounds
7846,Calf Pasture,Commonwealth of Massachusetts,Dorchester,7.44, ,Institutional District,"Parks, Playgrounds & Athletic Fields"
7848,Downer Avenue Playground,City of Boston,Dorchester,0.80889778,43 Downer Ave.,Residential District,"Parks, Playgrounds & Athletic Fields"
7850,Quincy/Stanley Play Area,City of Boston,Dorchester,0.3724094,Quincy Str.,Residential District,"Parks, Playgrounds & Athletic Fields"
7851,Deer Street Park,City of Boston,Dorchester,0.24478116,Opposite 34 Deer Str.,Residential District,"Parks, Playgrounds & Athletic Fields"
7852,Savin Hill Beach,Commonwealth of Massachusetts,Dorchester,2.98993894, ,Open Space District,"Parkways, Reservations & Beaches"
7853,Coppens Square,City of Boston,Dorchester,0.35701954,Opposite 344 Bowdoin Str.,Residential District,"Malls, Squares & Plazas"
7854,Old Harbor Park,Commonwealth of Massachusetts,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches"
7855,McConnell Park,City of Boston,Dorchester,6.76,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields"
7856,Boston Common,City of Boston,Back Bay/Beacon Hill,45.74,139 Tremont Str. @VIC,Open Space District,"Parks, Playgrounds & Athletic Fields"
7857,Central Burying Ground,City of Boston,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds
7858,Public Garden,City of Boston,Back Bay/Beacon Hill,23.51,"Boylston, Arlington, Charles",Open Space District,"Parks, Playgrounds & Athletic Fields"
7859,Granary Burying Ground,City of Boston,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds
7860,Phillips Street Play Area,City of Boston,Back Bay/Beacon Hill,0.11526636,Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields"
7861,Myrtle Street Playground,City of Boston,Back Bay/Beacon Hill,0.14766565,Opposite 28 Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields"
