,Species,Season,Inspected,Longitude,Latitude,Watered
0,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.13259599979999,42.2328350409,No
1,ACER GINNALA FLAME,Spring 2019,Yes,-71.1317299996,42.2334300402,No
2,ACER GINNALA FLAME,Spring 2019,Yes,-71.1322,42.2359900403,No
3,MALUS 'GOLDEN RAINDROPS',Spring 2019,Yes,-71.1310800002,42.2360100397,No
4,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.13097999979999,42.236220040300005,No
5,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.13097999979999,42.236220040300005,No
6,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.13097999979999,42.236220040300005,No
7,MALUS 'GOLDEN RAINDROPS',Fall 2018,Yes,-71.1252799997,42.2399100397,No
8,KOELREUTERIA PANICULATA,Spring 2019,Yes,-71.12285000029999,42.2412900403,No
9,ACER CAMPESTRE 'QUEEN ELIZABETH',Fall 2018,Yes,-71.12381000020001,42.2421300401,No
10,ACER GINNALA FLAME,Spring 2019,Yes,-71.1236000001,42.2430700402,No
11,MALUS 'GOLDEN RAINDROPS',Fall 2018,Yes,-71.1234899996,42.2435700398,No
12,MALUS 'GOLDEN RAINDROPS',Fall 2018,Yes,-71.1201399996,42.24812004,No
13,MALUS 'GOLDEN RAINDROPS',Fall 2018,Yes,-71.1205599997,42.2485700403,No
14,AMELANCHIER X CUMULUS,Spring 2019,Yes,-71.1452999997,42.2497400402,No
15,ACER RUBRUM 'FRANK JR',Spring 2019,Yes,-71.14491999970001,42.2497800397,No
16,PRUNUS SUB AUTUMNALIS,Spring 2019,Yes,-71.1115299997,42.2504100409,No
17,ACER GINNALA FLAME,Spring 2019,Yes,-71.1352400004,42.2510500399,No
18,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.1416500001,42.2525800407,No
19,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.1416500001,42.2525800407,No
20,LIQUIDAMBAR STYR. 'HAPPI DAZE',Spring 2019,Yes,-71.1416500001,42.2525800407,No
21,SYRINGA RETICULATA 'IVORY SILK',Spring 2019,Yes,-71.1401400003,42.2527200399,No
22,PRUNUS VIRGINIANA CANADA RED,Spring 2019,Yes,-71.12141,42.25359004,No
23,GLEDITSIA TRI. INERMIS SKYLINE,Spring 2019,Yes,-71.1207630208,42.2558803482,No
24,ZELKOVA SERRATA 'GREEN VASE',Fall 2018,Yes,-71.12376079319999,42.2560052877,No
